评论,图片
第一次洗牙，感觉洗完牙后牙齿轻松多了，室内环境很不错，很有调调前台美女服务细心周到，还赠送蜂蜜和小礼品，挺好的洗完牙后办理了会员，以后可以免费洗牙了,"['http://p0.meituan.net/shaitu/514f502417906a550d7537ffed7ed457270727.jpg', 'http://p0.meituan.net/shaitu/8ba5f5ef4eb5f51dc6cec0fcf8f4b461234212.jpg', 'http://p1.meituan.net/shaitu/dc72ccdc8f82547bc6aec64cb9bf66ed236981.jpg', 'http://p1.meituan.net/shaitu/7d9a2a0136260868e069b74bb067cf52213434.jpg']"
洗的很干净，也洗的很仔细，以前都是去医院看，一下子都洗完了，感觉他们很认真负责，主要是自己的受伤太也是那种了，蛀牙都好几颗，还缺齿，想起来要种我都很害怕疼，补牙我也怕疼，纠结死了。到底要不要种呢，到底要不要补呢，怕疼的人伤不起呀,[]
环境很好，在等的时候还玩了一盘惊险刺激的极品飞车。洗完牙感觉口腔健康多了。,[]
强烈推荐医生很专业，都没有胡乱推荐最后办了会员，以后三年免费洁牙休闲区和诊疗区完全分离，干净整洁时尚，真心不错。,"['http://p1.meituan.net/shaitu/1cc300b99392002c04928444b5bb17ff215762.jpg', 'http://p1.meituan.net/shaitu/fbfca16ff7e5afca86ee0738fc989baa196439.jpg', 'http://p0.meituan.net/shaitu/25a5b6057190efc58651fd53ac183871261677.jpg', 'http://p1.meituan.net/shaitu/4481bc934e7d983c14cd9b94c80120c3208318.jpg']"
服务非常不错，医生会很耐心的为你讲解牙齿所存在的问题。而且，会教你怎么正确的刷牙以及用牙线。检查得很仔细。,[]
环境很特别，像咖啡屋，有很多书，编程的也有沙发很舒服。前台接待的护士跟周冬雨好像，很热情，很温柔也很可爱，洗牙的医生也挺温柔，整个洗牙过程不怎么酸疼。洗完还有磨砂抛光。总体来说很不错，服务好，环境舒服，价格不高。如果要说有什么不满意的，那就是周冬雨妹妹不肯给我微信。,[]
预约式诊所，环境好，不会像公立医院那样鱼龙混杂的，本人超级无敌喜欢。老板是80后，很有想法，我觉得应该多支持支持,"['http://p0.meituan.net/shaitu/d65340246a8f9432155c36186bc27aff165134.jpg', 'http://p0.meituan.net/shaitu/4dd2c0345a16d3016117f4e77bb1bbdb201162.jpg', 'http://p0.meituan.net/shaitu/b8c2d1c77f6aef69ea2d3f3d640f6706140693.jpg']"
很棒干净卫生，服务周到。下次补牙会再来,"['http://p1.meituan.net/shaitu/6e71f58145b70e01742d5a9a0e4a612f260148.jpg', 'http://p1.meituan.net/shaitu/738fda48fb8e525831a165bda28dc92a289439.jpg', 'http://p0.meituan.net/shaitu/dcd95c1befee3e35758e3fd0b407b397253495.jpg', 'http://p1.meituan.net/shaitu/4da81a1f52c2a52c81ce6ea53f1b7dbc282738.jpg', 'http://p0.meituan.net/shaitu/e73113a886999eadbadd2c6371c77f54340626.jpg']"
挺好的一家店，在大中华金融中心12楼，CBD中心，不过上楼需要登记才有美女刷卡开电梯，有点麻烦，可能高档写字楼注重安全，但不影响体验，诊所环境都挺干净的，感觉不像口腔诊所，倒是像咖啡店，到处都是文艺的气息，让人舒心，没有紧张感，很放松，都忘了自己是来洗牙的，因为有咖啡喝，哈哈，洗牙洗了40多分钟，医生很耐心，也很认真，也给了护牙的建议，查出来颗蛀牙，会员补牙才360，感觉挺实惠的，就办个会员，毕竟蛀牙早晚都要处理的，不然时间一长整颗牙就废了。牙齿问题还是及早处理好。以后坚持一年洗两次，注重口腔护理。,"['http://p0.meituan.net/shaitu/a857909214b2d8e49029357d49f3a304172324.jpg', 'http://p0.meituan.net/shaitu/672d174561eecfed8459c9cd77638bda188576.jpg', 'http://p0.meituan.net/shaitu/9fd962cb32988d2dc8ed2b769c0b263a263613.jpg']"
诊所位置很好找，岗厦北地铁站A出口走到对面就是，像我这样的路痴也能找到，真是奇迹，好有成就感啊哈哈不过在大堂要登记才能上12楼，毕竟是CBD啊，与众不同，高档写字楼。到诊所才发现前台真是好有文青气质啊，方正阳刚的大字体，无不透露堂堂正正阳光透明的气息。说回正经的，诊所环境很干净整洁，有咖啡厅的感觉，给我洗牙的医生很细心，整过过程大概40分钟左右，洁牙喷砂抛光，医生技术熟练专业，洗完后感觉很清爽，洗完牙后，还坐一段时间才走，因为看到舒服的沙发就把持不住，哈哈，主要看到橱窗有很多书，就翻翻，看到很多书都是罗胖推荐的，目测老板也是罗胖的粉丝，哈哈，期间前台的小妹也会送上水和现磨的咖啡，小吃，水果，现做的华夫饼，这样贴心的服务，真心赞。,"['http://p1.meituan.net/shaitu/72ccfb557ae4e2a71f59aeb3fcab4bfc231046.jpg', 'http://p0.meituan.net/shaitu/e226d48ffcc95f16d9f5447f2c40ebbf177004.jpg', 'http://p0.meituan.net/shaitu/ada9540d8e128d6d7bbf4e1dd23b1b60271948.jpg']"
还不错吧他们都很热情。很多讲解自己的问题。还有专业的刷牙方法,[]
环境很好也很耐心整个过程虽然不懂解释的很详细总结不错的体验,['http://p1.meituan.net/shaitu/9df0ae35a242751ad0270c1f8db6ef37217268.jpg']
虽然不好找，但是去到里面就觉得值了。很有创意的个地方，牙医做的也比较仔细服务很好推荐哦,[]
讲解很细致，没有推销，真的很好，仪器也很完备。,[]
洗一次牙，懂得不少口腔护理常识，感谢牙医阙医生认真的讲解，超有耐心，洗得也比较仔细，洗完牙后前台的小妹有问是否有开车来，第一次来能补贴一小时的停车费，这个，真心不错，虽然不多，但这种细节好贴心啊，值得推荐这家店。,"['http://p0.meituan.net/shaitu/96f5079fc549ce533fad0477adda9dd426877.jpg', 'http://p1.meituan.net/shaitu/406faae2fa613657f971a64b9e315a1829780.jpg', 'http://p1.meituan.net/shaitu/5eb904d4781cdb00f500bd89eea00a1543842.jpg', 'http://p0.meituan.net/shaitu/b2e202ef4affafa51a73d941d7b9998e30404.jpg']"
这家口腔诊所服务很好，周到细心，接待的小护士很贴心，都会问需要喝什么咖啡还是果汁或饮料还有小吃。。洗牙很好很认真，洗牙的美女医生很漂亮，很温柔，讲了很多关于牙齿的小知识，洗牙套餐没有任何隐性消费，会员制服务，就是不一样，棒棒哒值得推荐。,"['http://p0.meituan.net/shaitu/e94424278f21b1808fc54e274965ba1e183518.jpg', 'http://p0.meituan.net/shaitu/5d19fce61b88a17536a816fb80931ef7185349.jpg', 'http://p0.meituan.net/shaitu/69bc4907ab28801400ffd886453faee8290212.jpg']"
